Name,beta,gamma,n_shots,test_accuracy
bright-sweep-82,1,0.001,5,0.247999991
dauntless-sweep-210,10,25,5,0.24799999
desert-sweep-634,25,5000,5,0.247999987
honest-sweep-50,0.001,25,5,0.239999995
lemon-sweep-114,1,10000,5,0.23999999
hopeful-sweep-570,25,10,5,0.239999989
northern-sweep-562,25,0.001,5,0.239999989
dutiful-sweep-546,5,75,5,0.223999996
wise-sweep-194,10,10000,5,0.223999994
atomic-sweep-146,1,75,5,0.223999989
warm-sweep-98,1,100,5,0.223999989
wild-sweep-74,0.001,5000,5,0.215999997
avid-sweep-514,5,10000,5,0.215999995
rare-sweep-506,5,1000,5,0.215999994
glowing-sweep-498,5,100,5,0.215999994
laced-sweep-34,0.001,10000,5,0.207999998
fragrant-sweep-530,5,25,5,0.207999992
vocal-sweep-554,5,5000,5,0.207999991
celestial-sweep-90,1,10,5,0.207999989
fancy-sweep-538,5,50,5,0.199999993
tough-sweep-130,1,25,5,0.199999993
astral-sweep-58,0.001,50,5,0.199999993
volcanic-sweep-26,0.001,1000,5,0.191999996
super-sweep-2,0.001,0.001,5,0.183999997
deft-sweep-66,0.001,75,5,0.175999995
glowing-sweep-42,0.001,5,5,0.167999995
eternal-sweep-10,0.001,10,5,0.167999995
rose-sweep-18,0.001,100,5,0.151999994
balmy-sweep-835,5000,10000,10,0.855999982
vocal-sweep-435,10000,10000,10,0.851999974
stellar-sweep-475,10000,5000,10,0.839999974
still-sweep-427,10000,1000,10,0.839999974
summer-sweep-459,10000,50,10,0.831999981
worldly-sweep-827,5000,1000,10,0.823999977
youthful-sweep-467,10000,75,10,0.819999969
blooming-sweep-875,5000,5000,10,0.815999985
logical-sweep-819,5000,100,10,0.811999977
easy-sweep-419,10000,100,10,0.807999992
dazzling-sweep-451,10000,25,10,0.799999988
sunny-sweep-859,5000,50,10,0.799999976
dashing-sweep-867,5000,75,10,0.795999992
vague-sweep-851,5000,25,10,0.763999999
dulcet-sweep-403,10000,0.001,10,0.763999987
noble-sweep-355,1000,10000,10,0.763999975
zany-sweep-371,1000,25,10,0.743999982
restful-sweep-411,10000,10,10,0.731999993
earthy-sweep-347,1000,1000,10,0.731999981
brisk-sweep-379,1000,50,10,0.727999973
rose-sweep-803,5000,0.001,10,0.719999981
prime-sweep-811,5000,10,10,0.711999989
glad-sweep-443,10000,5,10,0.711999977
super-sweep-323,1000,0.001,10,0.711999965
hardy-sweep-331,1000,10,10,0.70799998
happy-sweep-843,5000,5,10,0.703999984
neat-sweep-363,1000,5,10,0.679999989
wise-sweep-387,1000,75,10,0.667999983
lucky-sweep-395,1000,5000,10,0.651999974
stilted-sweep-339,1000,100,10,0.635999984
pretty-sweep-283,100,5,10,0.423999989
hardy-sweep-787,75,75,10,0.399999988
lively-sweep-683,50,5,10,0.399999988
dry-sweep-723,75,0.001,10,0.395999986
desert-sweep-699,50,50,10,0.395999986
snowy-sweep-763,75,5,10,0.39599998
serene-sweep-731,75,10,10,0.39199999
fallen-sweep-251,100,10,10,0.383999994
pious-sweep-259,100,100,10,0.383999991
vague-sweep-243,100,0.001,10,0.383999991
quiet-sweep-795,75,5000,10,0.371999997
ethereal-sweep-275,100,10000,10,0.36399999
stellar-sweep-299,100,50,10,0.363999987
fragrant-sweep-739,75,100,10,0.35999999
stoic-sweep-291,100,25,10,0.359999985
grateful-sweep-643,50,0.001,10,0.351999992
