"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"solar-sweep-832","finished","-","liorf","","2022-05-08T01:05:54.000Z","149","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.8144000411033631","0.5347133159637452"
"chocolate-sweep-831","finished","-","liorf","","2022-05-08T01:03:27.000Z","140","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8769999742507935","0.46175225973129275"
"daily-sweep-830","finished","-","liorf","","2022-05-08T01:01:00.000Z","138","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8386667013168335","0.5601198852062226"
"proud-sweep-829","finished","-","liorf","","2022-05-08T00:58:25.000Z","153","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8759999752044678","0.4733238101005554"
"olive-sweep-828","finished","-","liorf","","2022-05-08T00:56:06.000Z","136","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.8426666975021362","0.5561998277902603"
"worldly-sweep-827","finished","-","liorf","","2022-05-08T00:53:42.000Z","133","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.8239999771118164","0.4713533341884613"
"lyric-sweep-826","finished","-","liorf","","2022-05-08T00:51:26.000Z","131","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.8079999685287476","0.5853653907775879"
"exalted-sweep-825","finished","-","liorf","","2022-05-08T00:49:06.000Z","137","e4hlnb4l","5000","mnist","1000","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.6200000047683716","0.892690098285675"
"honest-sweep-824","finished","-","liorf","","2022-05-08T00:46:30.000Z","150","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.8392000317573547","0.5352867364883422"
"bumbling-sweep-823","finished","-","liorf","","2022-05-08T00:43:58.000Z","149","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8569999694824219","0.5019403576850892"
